Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1575.1,THRB(var.2),0.13,0,0,246,0.1,Down,43025,0.69427855110893,25,0,3292,150,Down,0.626421507875279,-5.061886695177835,-1.221077293587321,-0.203133339406061
MA0149.1,EWSR1-FLI1,0.05,0,0,58,0,Down,41275,0.979094869106664,25,0,3292,10,Down,0.999999999990688,-6.982537822168306,2.620224960393621,0.000000000004044
MA0036.3,GATA2,0.01,3,0.1,691,0.2,Down,43962,0.555540457007387,25,3,3292,611,Down,0.604345200926559,-2.646914728265191,-0.436311383297401,-0.218714922251877
MA0827.1,OLIG3,0.09,2,0.1,1243,0.4,Down,47015,0.218892886379656,25,1,3292,602,Down,0.06922301205628,-3.268806567638446,-1.637312547223787,-1.159749507455045
MA0038.2,GFI1,0.11,7,0.3,824,0.3,Up,43282,0.654925448275817,25,7,3292,726,Up,0.470230596866043,-1.972841741937006,0.414613991148058,0.327689115709241
MA0125.1,Nobox,0.01,9,0.4,534,0.2,Up,48344.5,0.131508505280234,25,8,3292,481,Up,0.022690488822545,-2.179269119010787,1.188613236579261,1.644156147982534
MA0797.1,TGIF2,0.15,0,0,164,0,Down,43075,0.686553298190864,25,0,3292,154,Down,0.627959422594401,-5.042965019605499,-1.258920644731993,-0.202068418544165
MA0804.1,TBX19,0.06,1,0,0,0,Up,42796,0.730056594392283,25,1,3292,0,Up,0.007536930961696,-8.386215283197108,8.597504883893539,2.122805462848389
MA0842.2,NRL,0.1,10,0.4,716,0.2,Up,49252.5,0.089409005369985,25,10,3292,641,Up,0.019044293646633,-1.819885094623465,1.079554350861459,1.720235130698421
MA0719.1,RHOXF1,0.01,27,1.1,4863,1.5,Down,48696,0.113680476982724,25,16,3292,2451,Down,0.250988759235815,-0.526774950735617,-0.202512543754851,-0.600345728364278
MA0783.1,PKNOX2,0.03,0,0,3,0,Down,41175,0.995818514484677,25,0,3292,2,Down,0.999999999988952,-8.017732486114005,4.690614288285018,0.000000000004798
