Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0834.1,ATF7,0.03,1,0,14,0,Up,65623,0.808256949193742,39,1,3291,10,Up,0.121716037743577,-6.505515153547837,3.57339381218378,0.914652193794223
MA1602.1,ZSCAN29,0.13,2,0.1,502,0.2,Down,69744.5,0.350730550175689,39,2,3291,452,Down,0.157336121293846,-3.42230407686883,-1.119097152841821,-0.80317156041732
MA0080.5,SPI1,0.05,1,0,29,0,Up,65254.5,0.856415903927482,39,1,3291,29,Up,0.298814158558255,-5.760352340256297,2.083068185600698,0.524598828416069
MA1648.1,TCF12(var.2),0.13,105,2.7,8167,2.5,Up,68520.5,0.466546470175639,39,32,3291,2834,Down,0.482437211381541,-0.248531931873855,-0.065762006549588,-0.316559201542869
MA0500.2,MYOG,0.03,110,2.8,6324,1.9,Up,76171,0.044448059577753,39,28,3291,1960,Up,0.140395357734706,-0.609207144957129,0.276632821889536,0.852647252202883
MA1577.1,TLX2,0.01,75,1.9,5636,1.7,Up,65757,0.790913122394928,39,21,3291,2028,Down,0.32515549057869,-0.78792394434361,-0.179184098262791,-0.487908908093435
MA0619.1,LIN54,0.05,71,1.8,6156,1.9,Down,71168.5,0.241299904323298,39,25,3291,2421,Down,0.201577414566418,-0.537099800511235,-0.188511211388745,-0.695558129362711
MA0155.1,INSM1,0.14,83,2.1,6390,1.9,Up,67872.5,0.535556341472738,39,34,3291,2562,Up,0.241301631010442,-0.278224742268625,0.165936901739382,0.617439742590009
MA0817.1,BHLHE23,0.07,0,0,354,0.1,Down,69361.5,0.384843263471644,39,0,3291,266,Down,0.070320316191365,-4.965159253918207,-2.677242988517791,-1.152919185149071
MA0758.1,E2F7,0.15,0,0,23,0,Down,64623,0.940103553814243,39,0,3291,23,Down,0.999999999994242,-6.716860689458977,0.826159882563747,0.000000000002501
MA1569.1,TFAP2E,0.1,296,7.6,25547,7.8,Down,68008.5,0.520658013573396,39,32,3291,3019,Down,0.04029847878389,-0.20292422996232,-0.156977410372657,-1.394711347611541
MA0635.1,BARHL2,0.1,167,4.3,14189,4.3,Down,69303.5,0.390180536215799,39,33,3291,3147,Down,0.007187394971128,-0.151115188765719,-0.173152737907222,-2.143428488569112
MA0828.1,SREBF2(var.2),0.09,5,0.1,252,0.1,Up,66472,0.700301872068183,39,3,3291,134,Up,0.214907187366818,-4.054746472990681,1.116641293742364,0.667749059699105
MA0649.1,HEY2,0.01,3,0.1,139,0,Up,66688.5,0.673620393683521,39,3,3291,123,Up,0.181653471714062,-4.116294038476654,1.239736424714311,0.740756297598393
MA0910.2,HOXD8,0.15,501,12.8,43998,13.4,Down,72935.5,0.142164196925683,39,38,3291,3263,Down,0.290430882093743,-0.024659682968328,-0.024669049027748,-0.53695720611995
MA0861.1,TP73,0.11,2,0.1,100,0,Up,65831,0.781378782834334,39,2,3291,83,Up,0.262471648441201,-4.641338921617088,1.318972536654694,0.5809176011743
MA0866.1,SOX21,0.14,0,0,69,0,Down,65422.5,0.834382346369299,39,0,3291,64,Down,0.999999999989371,-5.988541487586168,-0.63047852118187,-0.000000000004616
MA1472.1,BHLHA15(var.2),0.03,104,2.7,5477,1.7,Up,78384.5,0.017280686203174,39,28,3291,1842,Up,0.051872173247354,-0.653985656224208,0.366189844423694,1.285065556333352
MA0810.1,TFAP2A(var.2),0.14,234,6,19075,5.8,Up,64739,0.924653331905383,39,31,3291,2988,Down,0.024865202181719,-0.232912239835034,-0.187177169684305,-1.604408005120753
MA1143.1,FOSL1::JUND(var.2),0.12,27,0.7,2756,0.8,Down,70774.5,0.268841301317098,39,17,3291,1759,Down,0.259005599896975,-1.03903870745048,-0.270918047563314,-0.586690846042052
MA0610.1,DMRT3,0.15,129,3.3,11469,3.5,Down,69783.5,0.347367829096269,39,33,3291,3116,Down,0.017290076518686,-0.158255021363467,-0.158873072711728,-1.762203084715109
MA0727.1,NR3C2,0.14,6,0.2,379,0.1,Up,67073,0.627249457479033,39,5,3291,267,Up,0.244779237334377,-3.232741765334892,0.776785271590172,0.611225422692831
MA0613.1,FOXG1,0.01,2,0.1,411,0.1,Down,68305,0.488933732623132,39,2,3291,379,Down,0.310120666187854,-3.549213030146381,-0.86527924628672,-0.508469291768833
MA0103.3,ZEB1,0.15,70,1.8,5957,1.8,Down,64736.5,0.924986032448869,39,30,3291,2607,Down,0.693456425854389,-0.354560677812788,-0.036965465602858,-0.158980823135089
MA0594.2,HOXA9,0.07,11,0.3,1829,0.6,Down,74713.5,0.077453324954591,39,10,3291,1316,Down,0.072127425631198,-1.616750500885384,-0.589425649025918,-1.14189956835225
MA0711.1,OTX1,0.04,42,1.1,2714,0.8,Up,74676,0.078513847568826,39,26,3291,1752,Up,0.107217790780298,-0.742595523567203,0.333470459906598,0.969733145644666
MA0601.1,Arid3b,0.03,44,1.1,2298,0.7,Up,73189,0.130979768318176,39,18,3291,1134,Up,0.130614915991765,-1.315507985647151,0.442361206197996,0.884007224569235
MA1515.1,KLF2,0.14,707,18.1,48022,14.6,Up,72231,0.177096051143187,39,36,3291,3232,Down,0.034920104824465,-0.070025508508978,-0.087861361576215,-1.456924461283235
MA1135.1,FOSB::JUNB,0.03,8,0.2,252,0.1,Up,70193,0.313304268178752,39,6,3291,201,Up,0.031258257819892,-3.316617241963265,1.426552423854509,1.50503523106066
MA0510.2,RFX5,0.12,0,0,147,0,Down,66007.5,0.758772795596205,39,0,3291,94,Down,0.62718659032044,-5.713033903187259,-1.181493689979689,-0.202603235738309
MA0831.2,TFE3,0.04,7,0.2,475,0.1,Up,66024,0.756669656896756,39,5,3291,329,Up,0.586872631816321,-3.082371978475121,0.47604569787063,0.231456142877446
MA0700.2,LHX2,0.14,89,2.3,7097,2.2,Up,68837,0.434723300208109,39,23,3291,2335,Down,0.111579494449538,-0.62210282455888,-0.254178143881172,-0.95241561064633
MA0039.4,KLF4,0.14,179,4.6,12839,3.9,Up,68850.5,0.433394376910531,39,34,3291,2938,Down,0.604073045213149,-0.179460795414339,-0.03159099196919,-0.218910542811113
MA1107.2,KLF9,0.08,7,0.2,410,0.1,Up,68465.5,0.472205501653862,39,7,3291,364,Up,0.193951528188224,-2.785822315330067,0.777864325522965,0.712306794145397
MA0884.1,DUXA,0.08,21,0.5,1289,0.4,Up,72407.5,0.167795971853353,39,17,3291,988,Up,0.078705339598472,-1.454965028960708,0.560934595457143,1.103995802844396
MA0897.1,Hmx2,0.08,7,0.2,223,0.1,Up,71536.5,0.21742769709995,39,7,3291,211,Up,0.011886611880409,-3.178452890933561,1.563125476729953,1.924941917570546
MA0124.2,Nkx3-1,0.03,4,0.1,930,0.3,Down,73471,0.11935311352725,39,4,3291,803,Down,0.03898985236514,-2.584115507739092,-1.099480477991397,-1.409048409262553
MA0467.1,Crx,0.14,57,1.5,4600,1.4,Up,64754.5,0.9225908849152,39,26,3291,2362,Down,0.47751696243197,-0.527145581018297,-0.097429425191214,-0.321011196729948
MA0914.1,ISL2,0.03,17,0.4,2125,0.6,Down,73547.5,0.116342771181194,39,13,3291,1551,Down,0.106045691603964,-1.316987373451701,-0.463811745123866,-0.974506971189225
MA1627.1,Wt1,0.07,29,0.7,1396,0.4,Up,80942,0.004967205063924,39,22,3291,1000,Up,0.001264383289404,-1.264975841180087,0.906096378665318,2.898121252604251
MA0162.4,EGR1,0.1,70,1.8,4585,1.4,Up,72990,0.139699781579482,39,28,3291,2050,Up,0.248112169760034,-0.576830094051816,0.21187872007891,0.605351933309382
MA0494.1,Nr1h3::Rxra,0.07,1,0,32,0,Up,65196,0.864115572761116,39,1,3291,32,Up,0.323389098675566,-5.69048995842299,1.943343421934086,0.490274624085906
MA1520.1,MAF,0.12,3,0.1,138,0,Up,65545.5,0.818331667679348,39,2,3291,99,Up,0.332510120130576,-4.51487875758229,1.066052208585098,0.478195132165445
MA0712.2,OTX2,0.14,39,1,2592,0.8,Up,72512,0.162465322497748,39,24,3291,1717,Up,0.262787949005264,-0.81375300138746,0.24936419465113,0.580394554639339
MA0626.1,Npas2,0.14,38,1,3073,0.9,Up,67017,0.633917726859387,39,19,3291,1398,Up,0.515159813823192,-1.126621736628575,0.216486414627441,0.288058022425291
MA1683.1,FOXA3,0.01,8,0.2,734,0.2,Down,68067,0.514315855920334,39,5,3291,646,Down,0.414977464678898,-2.596186026074019,-0.496326206931573,-0.381975486977878
MA0896.1,Hmx1,0.03,2,0.1,51,0,Up,66508,0.695838420015906,39,2,3291,49,Up,0.119158180050068,-5.018512757814309,2.073320209049137,0.923876138557435
MA0650.2,HOXA13,0.15,32,0.8,3064,0.9,Down,70076,0.322804439557395,39,18,3291,1851,Down,0.255735272003044,-0.962189015397505,-0.264276734301296,-0.59220936825896
MA0800.1,EOMES,0.1,23,0.6,1073,0.3,Up,78254.5,0.018329144225304,39,19,3291,896,Up,0.005776923685595,-1.447374119432483,0.857991180235258,2.238303369544225
MA0164.1,Nr2e3,0.02,30,0.8,2891,0.9,Down,68226.5,0.49723025823978,39,11,3291,1160,Down,0.403156698195705,-1.642108733597047,-0.276220117046085,-0.394526120274233
MA1637.1,EBF3,0.08,20,0.5,863,0.3,Up,77593.5,0.024565989780313,39,16,3291,662,Up,0.003929963642097,-1.786069733449607,1.053366209261914,2.405611467464199
MA0648.1,GSC,0.03,37,0.9,2466,0.7,Up,71782.5,0.202447062098431,39,23,3291,1651,Up,0.334203529066926,-0.872080062316214,0.245776331633496,0.475988968427666
MA1603.1,Dmrt1,0.09,12,0.3,654,0.2,Up,71042.5,0.249882680406837,39,11,3291,569,Up,0.087277584623556,-2.155598121415233,0.750758658590285,1.059097281200376
MA0148.4,FOXA1,0.14,35,0.9,3052,0.9,Down,70116,0.31953559983682,39,18,3291,1836,Down,0.257727075845469,-0.968056842117491,-0.252541080861324,-0.588839953693621
MA1108.2,MXI1,0.01,38,1,2988,0.9,Up,65639.5,0.80611604728282,39,24,3291,1784,Up,0.420270952286976,-0.786148100215679,0.194154392307569,0.376470625929444
MA0748.2,YY2,0.09,16,0.4,1795,0.5,Down,71582,0.214598422271187,39,11,3291,1314,Down,0.187213594631572,-1.552224923960266,-0.455987736319649,-0.727662617889014
MA1538.1,NR2F1(var.3),0.12,3,0.1,80,0,Up,67659,0.55936985647856,39,3,3291,74,Up,0.059943454598474,-4.480893394037913,1.968935135836827,1.222258231863828
MA0113.3,NR3C1,0.05,2,0.1,72,0,Up,65081,0.879288676656721,39,1,3291,38,Up,0.370047057189814,-5.568280594589766,1.698924694267638,0.431743045180585
MA0488.1,JUN,0.15,29,0.7,3130,1,Down,71057.5,0.248849880886991,39,17,3291,1905,Down,0.075272660261417,-0.981536660419228,-0.385922141625818,-1.123362735002823
MA1501.1,HOXB7,0.15,71,1.8,6573,2,Down,69703.5,0.354287893081924,39,28,3291,2537,Down,0.44446168289898,-0.423114054735474,-0.095553358553775,-0.352165673665246
MA0658.1,LHX6,0.04,39,1,2818,0.9,Up,66670,0.675884936460891,39,11,3291,1129,Down,0.4992271941353,-1.661639859572746,-0.237157865094687,-0.301701765590801
