,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Atp2b4,-0.02832009,7.419690278,-0.115493958,0.908055093,0.999823494,-5.165626808,-0.115492086
Atp2c1,-0.195808896,7.253574574,-0.967811506,0.333228548,0.999823494,-4.682047749,-0.967631283
Atp2c2,-0.258037079,0.535363781,-0.259079863,0.795913617,0.999823494,-4.676848244,-0.258639223
Atp5f1a,-0.044159152,9.582104276,-0.45434892,0.649580523,0.999823494,-5.223498959,-0.454345013
Atp5f1b,-0.007599478,9.250757473,-0.052407363,0.958206132,0.999823494,-4.997998458,-0.052404822
Atp5f1c,-0.046970231,7.346936303,-0.420157189,0.674372293,0.999823494,-5.317060897,-0.420154909
Atp5f1d,-0.143391755,6.990397703,-1.427728161,0.153376124,0.999823494,-4.588343821,-1.427707299
Atp5f1e,-0.035071933,6.879137381,-0.405200779,0.685331407,0.999823494,-5.336854073,-0.405198773
Atp5if1,-0.017217824,7.455727739,-0.14699506,0.883136456,0.999823494,-5.386657069,-0.14699438
Atp5mc1,-0.085957985,6.358528743,-0.527401749,0.597916783,0.999823494,-5.273179966,-0.527398647
Atp5mc2,-0.113337566,6.138784925,-0.615771605,0.538114932,0.999823494,-4.787992283,-0.615666075
Atp5mc3,-0.046804886,8.000881448,-0.310506752,0.756177069,0.999823494,-5.315202866,-0.310504854
Atp5md,-0.0500674,6.533179647,-0.299554385,0.764518188,0.999823494,-5.359865288,-0.299552937
Atp5me,-0.019292311,6.446166477,-0.126019392,0.899717037,0.999823494,-5.385732957,-0.126018808
Atp5mf,-0.013526916,6.687483025,-0.124246124,0.901120837,0.999823494,-5.396526655,-0.124245577
Atp5mg,-0.062295915,7.127338423,-0.664252135,0.506531535,0.999823494,-5.222138186,-0.664248096
Atp5mpl,0.016976737,5.979918614,0.146086335,0.883853887,0.999823494,-5.344051602,0.146085507
Atp5pb,-0.043815585,7.289869252,-0.314739496,0.752972018,0.999823494,-4.970036423,-0.314722949
Atp5pd,-0.007123787,7.093769699,-0.064451605,0.948610858,0.999823494,-5.407601823,-0.064451332
Atp5pf,-0.084885725,6.568795385,-0.729123444,0.465929159,0.999823494,-5.176787264,-0.729118532
Atp5po,-0.083033228,6.765128767,-0.59068601,0.554733241,0.999823494,-5.247633712,-0.590682402
Atp6ap1,0.05687668,8.017529786,0.339741994,0.734079262,0.999823494,-4.874550709,0.339704248
Atp6ap1l,-0.282100127,2.098907134,-0.792213812,0.42834763,0.999823494,-4.723737962,-0.792022374
Atp6ap2,0.028221429,7.2863387,0.178834616,0.858071913,0.999823494,-5.059002008,0.178829077
Atp6v0a1,-0.02040628,8.409233685,-0.128419,0.897818109,0.999823494,-5.308986066,-0.128418099
Atp6v0a2,0.215041781,5.717983616,1.421638855,0.155138146,0.999823494,-4.573743808,1.42161466
Atp6v0a4,0.209468063,0.714637825,0.148328391,0.882898393,0.999823494,-4.624742322,0.147295996
Atp6v0b,0.025203831,7.629843949,0.242898268,0.808087037,0.999823494,-5.168156479,0.242894616
Atp6v0c,-0.002794391,9.115156602,-0.015579026,0.987570586,0.999823494,-5.079331128,-0.01557859
Atp6v0d1,0.044556794,8.171255468,0.282962991,0.777207361,0.999823494,-5.233146545,0.282960181
Atp6v0e1,-0.177231978,5.873696314,-0.510273696,0.610297723,0.999823494,-4.673611068,-0.509648523
Atp6v0e2,0.035988207,9.793111565,0.118218159,0.905896934,0.999823494,-5.10764897,0.118215468
Atp6v1a,0.125332649,8.91005205,0.445941306,0.655657091,0.999823494,-4.946574185,0.445917153
Atp6v1b1,0.222985154,-0.922924056,0.23357442,0.817742261,0.999823494,-4.609660838,0.230449809
Atp6v1b2,0.115870294,9.381160378,0.646519759,0.517950101,0.999823494,-5.054335226,0.646508489
Atp6v1c1,0.038179796,6.970584785,0.251437382,0.801477302,0.999823494,-5.303497405,0.251435658
Atp6v1c2,-0.017873522,5.927206888,-0.065214026,0.948009249,0.999823494,-4.893152709,-0.065206924
Atp6v1d,0.052095547,7.21300687,0.348990283,0.727097895,0.999823494,-5.349652666,0.348988564
