Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0646.1,GCM1,0.14,0,0,907,0.4,Down,7675,0.233433276047003,5,0,2347,723,Down,0.331854886157413,-2.578745927323355,-1.761371382627885,-0.479051783519663
MA0017.2,NR2F1,0.09,5,1,2937,1.3,Down,7255.5,0.360184457897642,5,2,2347,1623,Down,0.175101699827814,-0.834760648502492,-0.605485750494886,-0.756709637912804
MA0906.1,HOXC12,0.09,2,0.4,76,0,Up,8030.5,0.153891936638527,5,2,2347,72,Up,0.009184158232782,-3.077251938138069,3.879496828776268,2.036960642473094
MA0811.1,TFAP2B,0.02,2,0.4,114,0,Up,7952,0.169389354978102,5,2,2347,99,Up,0.016774152750065,-2.848894172873711,3.422781298247553,1.77535940649512
MA1467.1,ATOH1(var.2),0.12,4,0.8,1635,0.7,Up,6818,0.530921616731729,5,3,2347,871,Up,0.367188255852712,-1.040814642497573,0.777475891835759,0.43511121772114
MA0693.2,VDR,0.02,0,0,1109,0.5,Down,7965,0.166745036202944,5,0,2347,839,Down,0.167556600878867,-2.471477273120702,-1.975908691033191,-0.775838458495378
MA0033.2,FOXL1,0.12,21,4.2,7326,3.1,Up,6312,0.769500359355721,5,3,2347,1964,Down,0.190383687983763,-0.454519843331072,-0.395113706497243,-0.720370264576117
MA0864.2,E2F2,0.11,0,0,1465,0.6,Down,7767.5,0.21037304747818,5,0,2347,760,Down,0.182043125673822,-2.542768311726969,-1.833326613820657,-0.739825716281228
MA0062.3,GABPA,0.1,8,1.6,1240,0.5,Up,8848,0.049432733933174,5,4,2347,951,Up,0.165236748681992,-0.79617810673105,1.01334297907213,0.781893359104322
MA1634.1,BATF,0.11,7,1.4,2731,1.2,Up,7138.5,0.402096109569696,5,4,2347,1079,Up,0.187266920147751,-0.705134265856808,0.831255297323647,0.727538932000622
MA0776.1,MYBL1,0.13,1,0.2,400,0.2,Up,6328.5,0.761199632645547,5,1,2347,260,Up,0.444923572927671,-2.523119499089385,1.297300762346488,0.3517145838649
MA0615.1,Gmeb1,0.15,50,10,18888,8,Up,7101,0.416124978209346,5,4,2347,2222,Down,0.240837832003383,-0.184224178009495,-0.21056487837098,-0.618275290920151
MA0805.1,TBX1,0.15,7,1.4,2640,1.1,Up,7047,0.436826183364239,5,5,2347,1552,Up,0.174294931201526,-0.298265944716647,0.596531889433293,0.75871524274208
MA0703.2,LMX1B,0.03,4,0.8,801,0.3,Up,7042.5,0.438577652998777,5,2,2347,517,Up,0.305449915528865,-1.659498956952192,1.043990866404514,0.515059990634617
MA1519.1,LHX5,0.05,12,2.4,3102,1.3,Up,7586.5,0.257122141942294,5,4,2347,1158,Up,0.212899549087339,-0.65418686543565,0.72936049648133,0.671825258378906
MA0490.2,JUNB,0.15,7,1.4,2466,1.1,Up,7029.5,0.443660065753941,5,3,2347,954,Up,0.402454252001769,-0.975192375858446,0.646231358557506,0.395283479848599
MA0605.2,ATF3,0.03,0,0,82,0,Down,5970,0.946126939172903,5,0,2347,41,Down,0.999999999997761,-4.640650814915754,2.362438392556915,0.000000000000972
