Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1584.1,ZIC5,0.15,3,0.2,669,0.2,Up,21215,0.778696640835728,13,3,3123,560,Up,0.714366888834382,-2.212954915932976,0.530844671654222,0.146078683360511
MA0057.1,MZF1(var.2),0.02,10,0.8,1246,0.4,Up,25545,0.107368147970988,13,7,3123,975,Up,0.128634657759296,-1.263473329255719,0.830952845401537,0.890642004617354
MA0841.1,NFE2,0.1,1,0.1,177,0.1,Up,20891,0.855924672584862,13,1,3123,147,Up,0.467251163319871,-3.787150835879311,1.234451668873998,0.330449608680491
MA0782.2,PKNOX1,0.12,0,0,748,0.2,Down,24557,0.191258948050372,13,0,3123,655,Down,0.083545610218588,-3.503691673253615,-2.50239165781971,-1.078076364536946
MA1115.1,POU5F1,0.01,4,0.3,723,0.2,Up,22289.5,0.541304295789104,13,4,3123,628,Up,0.310389158775142,-1.949070690433081,0.72821637942385,0.508093456119896
MA1119.1,SIX2,0.11,2,0.2,259,0.1,Up,21794,0.646417089374771,13,2,3123,249,Up,0.279532746417401,-3.039505608252179,1.213092401952147,0.553567308509799
MA0143.4,SOX2,0.13,10,0.8,3486,1.1,Down,23395.5,0.341942145528181,13,6,3123,1962,Down,0.253962470069621,-0.862459329960769,-0.383976908123214,-0.595230457576621
MA0065.2,Pparg::Rxra,0.08,0,0,245,0.1,Down,21807.5,0.643443797695541,13,0,3123,232,Down,0.616791667801736,-4.251374205366795,-1.007026593593348,-0.209861501773199
MA0037.3,GATA3,0.03,25,1.9,5343,1.7,Up,21900.5,0.623118059542431,13,8,3123,2341,Down,0.332665969051692,-0.541577576389789,-0.25169416904668,-0.477991624165713
MA0629.1,Rhox11,0.1,2,0.2,1582,0.5,Down,26193.5,0.070420424256744,13,1,3123,1212,Down,0.021583330904059,-2.267551892022987,-1.804746218838652,-1.665881530847624
MA0112.3,ESR1,0.1,0,0,17,0,Down,20371,0.982489968222026,13,0,3123,11,Down,0.999999999989371,-6.420136680335984,3.330498356345032,0.000000000004616
