,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Prss12,0.141117208,0.592634078,0.596026496,0.551440848,0.927900475,-4.718952437,0.595602438
Ptgfr,-0.24206569,0.761418666,-0.595061417,0.55194591,0.927900475,-4.769039762,-0.594846757
Rab21,0.04734596,6.818253377,0.59578429,0.551326338,0.927900475,-5.130125961,0.595773817
Rab3b,-0.059860438,5.706199348,-0.592650731,0.553418382,0.927900475,-5.274237027,-0.59264556
Rbl1,0.104497844,1.570044554,0.592856132,0.553434144,0.927900475,-4.757577133,0.592622012
Rbm48,0.066890174,3.627941346,0.594182868,0.5524071,0.927900475,-5.006367724,0.594157015
Relch,0.050127553,6.133280299,0.595967543,0.551203601,0.927900475,-5.138663651,0.595957526
Rhbdd3,0.057497401,5.525293682,0.588739206,0.556039977,0.927900475,-5.261457547,0.588733625
Rnf112,0.187266485,5.921159382,0.589910045,0.555254933,0.927900475,-5.241768922,0.589904119
Ror1,-0.146422981,2.662657008,-0.591298289,0.554368804,0.927900475,-4.867757859,-0.591226299
Rpl9,-0.069063633,8.977127819,-0.591093299,0.554466337,0.927900475,-5.101140058,-0.59108072
Rps6kb1,-0.057786101,5.876227336,-0.592302437,0.553651348,0.927900475,-5.285559225,-0.592297563
Rrbp1,-0.131996394,6.831436206,-0.58965113,0.555428228,0.927900475,-5.253484346,-0.589645667
Sars,0.043300834,7.420100233,0.59431196,0.552306162,0.927900475,-5.323096537,0.594307951
Sdc2,-0.074979514,7.2960261,-0.594018139,0.552502649,0.927900475,-5.324569174,-0.59401415
Sec11a,0.053477804,5.718651168,0.594611619,0.552111269,0.927900475,-5.105994939,0.594599419
Slc1a2,0.174798022,5.263825126,0.592984559,0.553201239,0.927900475,-5.077854773,0.592969986
Slc26a4,0.396752798,0.361076044,0.596530338,0.551002571,0.927900475,-4.756050335,0.596258469
Slc44a2,0.049460032,6.644903144,0.594640858,0.552088098,0.927900475,-5.209740642,0.594634075
Smkr1,-0.138605409,1.511781331,-0.59318536,0.553144287,0.927900475,-4.811229854,-0.593055086
Smtnl2,0.216893262,1.343581813,0.589304317,0.555778635,0.927900475,-4.779954162,0.589123194
Spag9,-0.061187639,7.594339438,-0.595349718,0.551615657,0.927900475,-5.159805807,-0.595340847
Spata2,0.061373207,4.671989151,0.592613855,0.553446657,0.927900475,-5.148100141,0.59260332
Spata25,-0.189724134,-0.290241494,-0.594122159,0.552754603,0.927900475,-4.714290578,-0.593637486
Ssu72,0.050811975,8.006266736,0.594922991,0.551897971,0.927900475,-5.299626656,0.594918469
Stmn3,0.116931387,8.109885434,0.591385011,0.554265903,0.927900475,-5.272228931,0.591379904
Sugt1,-0.053780567,5.837279993,-0.595371192,0.551598627,0.927900475,-5.285995939,-0.59536633
Synpr,0.112302866,4.450407823,0.588991211,0.555881503,0.927900475,-5.020055509,0.588969844
Tanc1,-0.105521759,5.262254323,-0.589887746,0.555270582,0.927900475,-5.216444542,-0.589880778
Tle1,0.112754175,5.929751653,0.597866076,0.549932905,0.927900475,-5.26390318,0.59786067
Tmed4,-0.036934127,7.49383331,-0.591671341,0.554073414,0.927900475,-5.320799534,-0.591667276
Tmem39b,0.069075322,4.316277456,0.59474618,0.552022138,0.927900475,-5.10748978,0.594732733
Traf4,0.085177334,4.447416574,0.58925248,0.555699815,0.927900475,-5.129856093,0.589240705
Trnan-guu_5,-0.201684043,0.225843987,-0.590866676,0.5548004,0.927900475,-4.748434839,-0.590582191
Trnar-acg,0.090165292,3.029842839,0.594161086,0.552433926,0.927900475,-4.933408034,0.594116904
Ttc13,0.038548709,6.186535329,0.589391974,0.555601258,0.927900475,-5.309480037,0.589387652
Uba52,0.043820518,7.934397833,0.591202651,0.554389946,0.927900475,-5.181768086,0.591194742
Ubp1,-0.039590636,6.369905056,-0.588851067,0.555963947,0.927900475,-5.318334557,-0.588846951
