,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Kcnip1,0.087359345,5.711475309,0.425847049,0.670250822,0.999972263,-4.944801686,0.425803794
Kcnip2,-0.014836877,6.101407712,-0.068483793,0.94540082,0.999972263,-5.427161036,-0.068483417
Kcnip3,0.393902219,0.688225747,0.696034488,0.490198744,0.999972263,-4.61799977,0.689992754
Kcnip4,-0.148141685,5.655899503,-0.70238174,0.48252161,0.999972263,-4.818937244,-0.702252661
Kcnj10,-0.174842865,4.251773133,-0.470949333,0.637699676,0.999972263,-4.967874789,-0.470917465
Kcnj11,0.046979141,4.014507501,0.232805177,0.815915727,0.999972263,-5.202246508,0.23280127
Kcnj13,-1.578783659,1.404981193,-1.407641886,0.180842298,0.999972263,-4.587813923,-1.338166098
Kcnj16,-0.25530489,3.601200423,-0.898441421,0.368994565,0.999972263,-4.790803831,-0.898358291
Kcnj2,-0.521929119,1.738276846,-1.480796595,0.140443776,0.999972263,-4.5113269,-1.474140465
Kcnj3,-0.021731195,5.300643598,-0.159929644,0.872939675,0.999972263,-5.161647415,-0.159925609
Kcnj4,-0.024902324,3.985005701,-0.04316543,0.96580736,0.999972263,-4.634563238,-0.042867244
Kcnj8,0.09436675,0.564921817,0.295877526,0.767386182,0.999972263,-4.818637287,0.295795602
Kcnj9,-0.307269017,3.814238534,-0.87707481,0.380480187,0.999972263,-4.823787939,-0.877011877
Kcnk10,-0.093658126,3.674024003,-0.794839376,0.426726088,0.999972263,-4.921658423,-0.794806467
Kcnk12,-0.039955123,2.754638396,-0.187110828,0.851581712,0.999972263,-5.016873479,-0.187100659
Kcnk13,-0.206419418,2.034567739,-0.788128926,0.431167809,0.999972263,-4.663648841,-0.787194855
Kcnk2,0.044534871,5.654826203,0.219402521,0.826339281,0.999972263,-5.225512004,0.219398959
Kcnk3,-0.295133166,5.14303986,-1.117224549,0.263909634,0.999972263,-4.820715482,-1.117198096
Kcnk4,-0.619771153,0.653139817,-1.416799941,0.157946811,0.999972263,-4.517811579,-1.412010697
Kcnk5,0.04891741,1.462360519,0.111614695,0.911143024,0.999972263,-4.882688363,0.111596908
Kcnk7,0.18255538,1.442079515,0.294028328,0.768944042,0.999972263,-4.731675988,0.293756416
Kcnmb2,-0.313642246,1.976655298,-1.380587465,0.167524313,0.999972263,-4.479404301,-1.380202472
Kcnmb3,-0.310746118,2.305632169,-1.410635072,0.158842563,0.999972263,-4.489354431,-1.408974991
Kcnmb4,-0.173632995,3.659337652,-1.060924611,0.288761173,0.999972263,-4.726763464,-1.060843185
Kcnn1,0.066830856,3.315890436,0.407768394,0.683455761,0.999972263,-5.036245013,0.407751995
Kcnn2,-0.13206574,3.890916457,-0.662681849,0.507636322,0.999972263,-4.792717961,-0.662522653
Kcnn3,0.290293156,5.522342049,1.492733162,0.135521897,0.999972263,-4.482571337,1.492676464
Kcnq1,-0.125469393,5.135205779,-0.525806718,0.599025769,0.999972263,-5.26155425,-0.525802022
Kcnq2,-0.276231057,5.897410922,-0.784345478,0.432857582,0.999972263,-4.937646363,-0.784311109
Kcnq3,-0.131127092,3.985402665,-0.243722403,0.807452878,0.999972263,-5.072929134,-0.243713292
Kcnq4,-0.051244526,2.519291442,-0.221218582,0.824965668,0.999972263,-4.837055286,-0.221162807
Kcnq5,0.24592904,4.816576048,1.031633945,0.302261834,0.999972263,-4.82043048,1.031595107
Kcnrg,-0.090453521,1.658068066,-0.385344318,0.700067615,0.999972263,-4.804118575,-0.385229195
Kcns1,0.05448648,2.966726907,0.154303318,0.877410828,0.999972263,-4.819365373,0.154252272
Kcns2,-0.783961374,1.783368957,-1.347532996,0.178082529,0.999972263,-4.502516592,-1.346682444
Kcns3,-0.249516069,0.56756512,-0.365479349,0.717795481,0.999972263,-4.618916118,-0.361406645
Kcnt1,0.231868514,4.504670066,0.932953395,0.350862775,0.999972263,-4.868806338,0.932917095
Kcnv1,-0.24002664,1.716278932,-0.857702254,0.391705005,0.999972263,-4.645891528,-0.856529424
Kcp,-0.070815854,1.14849983,-0.245529519,0.806078075,0.999972263,-4.872759343,-0.245488677
Kctd1,0.120449652,4.714171943,0.316709712,0.752277567,0.999972263,-4.662633665,0.315637636
Kctd10,-0.211829497,6.985622471,-1.024156531,0.305787643,0.999972263,-4.799217705,-1.024100851
Kctd11,0.218342697,2.902701178,0.771887753,0.440216478,0.999972263,-4.856616096,0.771827709
Kctd12,-0.312737533,5.503085808,-1.377194024,0.168524194,0.999972263,-4.505755634,-1.376961363
Kctd13,-0.078854658,5.296618094,-0.867433654,0.385709678,0.999972263,-5.086122234,-0.867424107
Kctd14,-0.129421164,1.208271647,-0.325931437,0.744610921,0.999972263,-4.760602072,-0.325753424
Kctd15,-0.1916057,4.020231992,-0.984067462,0.32512046,0.999972263,-4.767380011,-0.983989939
Kctd16,-0.346125087,3.059980309,-0.922883078,0.356107125,0.999972263,-4.790720962,-0.922808281
Kctd18,0.03477653,4.209719767,0.27029249,0.78693837,0.999972263,-5.217330328,0.270288424
Kctd19,-0.441825465,1.899441006,-0.759243081,0.452867692,0.999972263,-4.610479202,-0.75064274
Kctd2,0.031658026,7.201943575,0.186910976,0.851731772,0.999972263,-5.331917917,0.186909269
Kctd20,-0.02121163,6.190168233,-0.20911413,0.834359844,0.999972263,-5.466794355,-0.209113234
Kctd3,0.050471197,6.416863709,0.359933677,0.718897919,0.999972263,-5.43905349,0.35993209
Kctd4,0.186210631,4.770306366,0.662941707,0.507376438,0.999972263,-5.078008587,0.66292836
Kctd5,-0.013975331,4.782771319,-0.06904673,0.944976619,0.999972263,-4.81160258,-0.069016333
Kctd6,-0.199616706,3.966632111,-1.001368404,0.31669195,0.999972263,-4.747222828,-1.001278984
Kctd7,-0.087806884,4.962918306,-0.629401191,0.529108421,0.999972263,-4.962181122,-0.629367605
Kctd8,-0.05046915,3.462084161,-0.10157682,0.919576606,0.999972263,-4.639939985,-0.100967063
Kctd9,0.115874101,3.901895056,0.724457224,0.468851088,0.999972263,-4.815411564,0.724349674
Kdelc1,-0.003580071,2.993603204,-0.009529993,0.992412615,0.999972263,-4.68861164,-0.009509521
Kdelc2,-0.060879525,4.255801369,-0.501590153,0.615965696,0.999972263,-5.074307821,-0.501576154
Kdelr2,0.154236073,5.9826171,0.90381428,0.366100775,0.999972263,-5.02464119,0.903801295
Kdelr3,0.378738769,3.387603232,1.464856423,0.143041167,0.999972263,-4.433823504,1.464559396
Kdf1,0.100643443,1.383104737,0.116533906,0.907243734,0.999972263,-4.886408527,0.116515839
Kdm1a,-0.0211698,6.246959766,-0.230781569,0.817486053,0.999972263,-5.333573889,-0.230779571
Kdm2a,-0.052606332,7.367928971,-0.65368139,0.513319293,0.999972263,-5.320966347,-0.653677979
Kdm2b,-0.04716111,5.328536516,-0.674512711,0.499989214,0.999972263,-5.212665622,-0.674506721
Kdm3a,-0.08257419,6.659149439,-0.653137415,0.513669901,0.999972263,-5.32018858,-0.65313399
Kdm3b,0.055167526,6.529003734,0.43350783,0.664647918,0.999972263,-5.34861536,0.433505022
Kdm4a,0.09846094,6.367414294,0.975961032,0.329116335,0.999972263,-4.803891748,0.975895333
Kdm4b,0.025864076,6.760581477,0.21584967,0.829105904,0.999972263,-5.408428968,0.21584842
Kdm4c,0.037753446,5.376596308,0.257175808,0.797059221,0.999972263,-4.99430571,0.25715487
Kdm5a,0.063393595,6.27494809,0.621492083,0.534283349,0.999972263,-5.121853775,0.621480761
Kdm5b,0.01233907,6.187801151,0.115846148,0.907774859,0.999972263,-5.479705996,0.115845664
Kdm6a,0.051667938,5.658259479,0.319978162,0.748992435,0.999972263,-5.119393192,0.319968203
Kdm6b,0.235113515,6.351219166,1.443333243,0.14896728,0.999972263,-4.480449017,1.44318885
Kdm7a,-0.018333309,2.895569286,-0.105242674,0.916187071,0.999972263,-5.046298604,-0.105237858
Kdm8,0.113029283,4.377469197,0.56877378,0.569521823,0.999972263,-5.040274304,0.568755875
Kdr,0.629847654,4.530907776,1.153497727,0.248727446,0.999972263,-4.72482359,1.153445814
Kdsr,-0.072061501,5.14303894,-0.728650909,0.466219947,0.999972263,-5.159225886,-0.728643198
Keap1,-0.027065152,6.036518427,-0.094051683,0.925174557,0.999972263,-4.717421972,-0.09391767
Khdc4,-0.051614238,5.381787092,-0.311068827,0.755749926,0.999972263,-5.357932158,-0.311066687
Khdrbs1,0.06237465,7.465182984,0.839573718,0.40115566,0.999972263,-5.034123467,0.839559064
Khdrbs2,-0.243344925,4.613053743,-0.931210714,0.352272532,0.999972263,-4.642952258,-0.93019036
Khdrbs3,-0.2725041,5.661941551,-1.066220644,0.286333115,0.999972263,-4.883957497,-1.066200281
Khnyn,0.043630457,2.892743927,0.162819151,0.870676305,0.999972263,-4.918713916,0.162799497
Khsrp,0.037681881,6.934680455,0.472509584,0.636564578,0.999972263,-5.41501776,0.472507516
