Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1119.1,SIX2,0.15,12,0.6,796,0.3,Up,29424.5,0.050409634,20,11,2347,663,Up,0.012287729,-1.328473418,0.988966739,1.910528384
MA0143.4,SOX2,0.04,5,0.3,1872,0.8,Down,31454.5,0.008703933,20,4,2347,1234,Down,0.005506484,-1.557412662,-1.260428682,-2.259125617
MA0065.2,Pparg::Rxra,0.1,6,0.3,409,0.2,Up,26686,0.290656785,20,6,2347,372,Up,0.115814235,-2.156462557,0.998700541,0.936238059
MA0629.1,Rhox11,0.05,5,0.3,251,0.1,Up,26947.5,0.253203448,20,5,2347,235,Up,0.044711975,-2.607723289,1.419205807,1.349576147
MA0037.3,GATA3,0.04,31,1.6,4952,2.1,Down,28189,0.121016041,20,12,2347,1914,Down,0.021106583,-0.503926656,-0.419538317,-1.675582073
MA0112.3,ESR1,0.02,0,0,1,0,Down,23480,0.997378393,20,0,2347,1,Down,1,-7.984749473,5.254394937,1.214E-12
MA1506.1,HOXD10,0.05,1,0.1,13,0,Up,24513.5,0.73170149,20,1,2347,13,Up,0.112302866,-5.607305722,3.669432436,0.949609159
MA0498.2,MEIS1,0,7,0.4,543,0.2,Up,25749,0.453970774,20,6,2347,484,Up,0.277946198,-1.966834437,0.619444301,0.556039262
MA0773.1,MEF2D,0.13,1,0.1,254,0.1,Down,24606.5,0.708835814,20,1,2347,230,Down,0.713770518,-3.560438003,-0.424303002,-0.146441394
MA0701.2,LHX9,0.04,3,0.2,1819,0.8,Down,30273,0.025400063,20,2,2347,894,Down,0.009482746,-2.21379784,-1.643652139,-2.023065871
MA0637.1,CENPB,0.15,5,0.3,440,0.2,Up,25325,0.542194528,20,5,2347,389,Up,0.359571415,-2.244775155,0.693309538,0.444214841
MA1468.1,ATOH7,0.12,13,0.7,3403,1.4,Down,32133.5,0.004419325,20,6,2347,1504,Down,0.00361399,-1.149476669,-1.015271235,-2.442013016
MA0689.1,TBX20,0.02,1,0.1,25,0,Up,24393.5,0.761558665,20,1,2347,25,Up,0.198923881,-5.148536802,2.751894597,0.701313075
MA1132.1,JUN::JUNB,0.11,32,1.6,3310,1.4,Up,26421.5,0.332158618,20,18,2347,1722,Up,0.125593568,-0.297359907,0.298522536,0.901032603
MA0898.1,Hmx3,0.14,2,0.1,611,0.3,Down,26322,0.348716206,20,2,2347,511,Down,0.279509525,-2.616971461,-0.837304897,-0.553603387
