Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1143.1,FOSL1::JUND(var.2),0.15,32,1.7,5952,1.9,Down,31639.5,0.617097564739953,19,14,3123,2593,Down,0.351538602441598,-0.347842191968376,-0.1591580635326,-0.454026978163737
MA0610.1,DMRT3,0.11,53,2.8,7635,2.4,Up,30848.5,0.76469489124666,19,14,3123,2718,Down,0.09096642982075,-0.313886962751044,-0.227068521967264,-1.041118849804715
MA0613.1,FOXG1,0.04,12,0.6,1664,0.5,Up,31861,0.578105427665331,19,9,3123,1226,Up,0.487204980659981,-1.193045500713287,0.311141590589249,0.312288280592568
MA0727.1,NR3C2,0.03,0,0,17,0,Down,29782.5,0.976930401911717,19,0,3123,12,Down,0.999999999990822,-6.625246921826519,2.679689405928541,0.000000000003986
MA0103.3,ZEB1,0.02,52,2.7,5327,1.7,Up,37375.5,0.05058613225993,19,19,3123,2425,Up,0.011846795583944,-0.182440675185348,0.364881350370696,1.926399105215701
MA0594.2,HOXA9,0.02,2,0.1,107,0,Up,31800.5,0.588640157411733,19,2,3123,104,Up,0.133020170136738,-3.932531403229758,1.938114558509744,0.876082501026006
MA0711.1,OTX1,0.04,16,0.8,2592,0.8,Up,30168.5,0.899074106803217,19,9,3123,1650,Down,0.652621388268316,-0.97886754838082,-0.117214314075685,-0.185338697243371
MA1515.1,KLF2,0.07,111,5.8,16859,5.4,Up,29890,0.955193504518415,19,15,3123,2802,Down,0.125611252505785,-0.243827532674049,-0.174756751602649,-0.900971453892819
MA0601.1,Arid3b,0.04,24,1.3,4383,1.4,Down,33420,0.341293036629636,19,8,3123,1688,Down,0.358536294032246,-1.042680364084973,-0.310518027053872,-0.445466874863383
MA1135.1,FOSB::JUNB,0.15,50,2.6,8477,2.7,Down,30422,0.848420283676901,19,13,3123,2643,Down,0.101063820981563,-0.385614459941676,-0.289800513514208,-0.995404286150842
MA0510.2,RFX5,0.09,0,0,73,0,Down,30048.5,0.923209554937835,19,0,3123,40,Down,0.999999999993652,-5.777250015271568,0.983695592818641,0.000000000002757
MA0831.2,TFE3,0.12,10,0.5,2644,0.8,Down,34801,0.192943427987714,19,5,3123,1349,Down,0.166717842684242,-1.518354576661807,-0.615232047126289,-0.778017918080613
MA0039.4,KLF4,0.15,116,6.1,15202,4.9,Up,33508.5,0.330025462686987,19,15,3123,2839,Down,0.089290648423262,-0.234366263308013,-0.193679290334721,-1.049194023203757
MA0700.2,LHX2,0.13,23,1.2,5465,1.7,Down,34457.5,0.224446976130113,19,8,3123,1939,Down,0.095766489077124,-0.942709065823006,-0.510460623577806,-1.018786434083404
MA0884.1,DUXA,0.09,13,0.7,1660,0.5,Up,32645.5,0.450157683631665,19,9,3123,1187,Up,0.478576174970608,-1.216355360939252,0.357761311041178,0.320048925731664
MA1107.2,KLF9,0.08,7,0.4,367,0.1,Up,35934,0.111988144452589,19,6,3123,335,Up,0.012423319716533,-2.401870679543243,1.633816357644174,1.905762337981732
MA0897.1,Hmx2,0.1,3,0.2,369,0.1,Up,31084,0.719551140067242,19,3,3123,340,Up,0.454724115544449,-2.837742061679043,0.719389529748798,0.342252013091656
MA1627.1,Wt1,0.06,9,0.5,924,0.3,Up,33749.5,0.300577776560068,19,7,3123,704,Up,0.165527849723384,-1.763501770754803,0.769980295002147,0.781128926579181
MA0914.1,ISL2,0.02,2,0.1,1208,0.4,Down,35916,0.11302219763482,19,2,3123,965,Down,0.077631801440085,-2.328644744794875,-1.269658758360023,-1.109960335949028
MA0467.1,Crx,0.13,23,1.2,3054,1,Up,34576,0.213188026298402,19,14,3123,1832,Up,0.243954690753143,-0.598385777639508,0.341929107809663,0.612690826870754
MA0124.2,Nkx3-1,0.14,60,3.2,12946,4.1,Down,37250,0.054462537726774,19,17,3123,3046,Down,0.08102098878899,-0.096064995732743,-0.120108412369077,-1.091402460942832
MA0162.4,EGR1,0.06,0,0,528,0.2,Down,34086,0.26247840534614,19,0,3123,465,Down,0.097453201017476,-4.015856337934484,-2.539091761855528,-1.011203891165193
MA0494.1,Nr1h3::Rxra,0.14,7,0.4,409,0.1,Up,35584,0.133475007920889,19,6,3123,374,Up,0.020598960662454,-2.32254420341396,1.475163405385606,1.686154691764247
MA1520.1,MAF,0.12,1,0.1,114,0,Up,30435,0.845837616122353,19,1,3123,82,Up,0.399588849407192,-4.471532659230395,1.542185882178606,0.398386639336178
MA0712.2,OTX2,0.15,25,1.3,4427,1.4,Down,30008,0.93137238103656,19,15,3123,2173,Up,0.460974910630228,-0.427174671381401,0.191937525812055,0.336322711207668
MA1683.1,FOXA3,0.01,4,0.2,695,0.2,Down,29995.5,0.933893270716769,19,4,3123,606,Up,0.775232245485603,-2.24003059843247,0.249106762025068,0.110568171270484
MA0626.1,Npas2,0.14,8,0.4,3006,1,Down,36431,0.086273715716047,19,4,3123,1367,Down,0.061632088527527,-1.653549957152765,-0.923854520534341,-1.210193115076208
MA0896.1,Hmx1,0.05,2,0.1,122,0,Up,31658,0.613797088698836,19,2,3123,119,Up,0.164627377730655,-3.835777565279826,1.744606882609879,0.783497939423655
MA0650.2,HOXA13,0.09,0,0,947,0.3,Down,37135.5,0.05821238183224,19,0,3123,786,Down,0.006367023690427,-3.637523539006037,-3.295757359712421,-2.196063534209886
MA0800.1,EOMES,0.03,3,0.2,111,0,Up,33314.5,0.355042826444932,19,3,3123,109,Up,0.02817746283586,-3.656104025884492,2.356113458159696,1.55009811434916
MA0164.1,Nr2e3,0.01,7,0.4,2002,0.6,Down,34351.5,0.234872900919185,19,3,3123,1005,Down,0.14604638856332,-2.056648872532403,-0.842796848544482,-0.83550917779631
MA0648.1,GSC,0.09,58,3.1,11082,3.5,Down,31799,0.588902471697692,19,16,3123,2842,Down,0.24319649571973,-0.188505640144849,-0.105004918717891,-0.61404268721406
MA1637.1,EBF3,0.04,4,0.2,282,0.1,Up,31991,0.555773866384402,19,3,3123,259,Up,0.207236502706828,-3.033702191506138,1.111309789402989,0.683533745413781
MA1603.1,Dmrt1,0.05,2,0.1,94,0,Up,31898.5,0.571620473953845,19,2,3123,94,Up,0.112910057788987,-4.005089757159664,2.083231266369555,0.94726737031858
MA1108.2,MXI1,0.01,18,0.9,2868,0.9,Up,29787,0.976020028909133,19,9,3123,1724,Down,0.498913318472131,-0.947230053261662,-0.180489304314003,-0.301974902431334
MA0148.4,FOXA1,0.13,9,0.5,2258,0.7,Down,33568.5,0.3225250325363,19,7,3123,1459,Down,0.491311168168282,-1.238100471158488,-0.280822304190484,-0.308643363651193
MA0748.2,YY2,0.07,1,0.1,1047,0.3,Down,36390,0.088196284530899,19,1,3123,864,Down,0.035499218170404,-2.776832689532162,-1.84721405721786,-1.449781211677811
MA1538.1,NR2F1(var.3),0.14,1,0.1,144,0,Up,29925.5,0.94802179295617,19,1,3123,137,Up,0.575095807547358,-4.103049862147293,0.8052202880124,0.240259798400683
MA0113.3,NR3C1,0.07,0,0,141,0,Down,30352.5,0.862254577495855,19,0,3123,72,Down,0.99999999998768,-5.357220471706413,0.143636505688331,0.00000000000535
MA0488.1,JUN,0.1,1,0.1,713,0.2,Down,33799.5,0.294694694578703,19,1,3123,594,Down,0.233433048011923,-3.046927266480475,-1.307024903321234,-0.631837659202414
MA1501.1,HOXB7,0.14,12,0.6,4119,1.3,Down,38319,0.028213541904692,19,7,3123,2046,Down,0.013639313033497,-0.994258243188079,-0.768506760131301,-1.865207503086793
MA0658.1,LHX6,0.02,0,0,636,0.2,Down,33098,0.384336317807073,19,0,3123,361,Down,0.155839261584444,-4.198249098238322,-2.174306241247852,-0.80732311828477
MA0752.1,ZNF410,0.14,0,0,17,0,Down,29830,0.967322654800778,19,0,3123,17,Down,0.99999999999195,-6.382533508241398,2.1942625787583,0.000000000003496
MA0624.1,NFATC1,0.01,42,2.2,5154,1.7,Up,35453.5,0.142257639862469,19,19,3123,2440,Up,0.02081016219527,-0.177993389085915,0.35598677817183,1.681724534865912
MA0720.1,Shox2,0.01,23,1.2,5382,1.7,Down,34167.5,0.253775913921091,19,8,3123,1903,Down,0.103125804664338,-0.95622416880758,-0.483430417608657,-0.98663264973978
MA0043.3,HLF,0.08,1,0.1,869,0.3,Down,34915.5,0.18320045805109,19,1,3123,710,Down,0.095233086689347,-2.918348346731913,-1.564182742818359,-1.021212139113897
MA0875.1,BARX1,0.01,13,0.7,2138,0.7,Down,31495,0.643139394034848,19,7,3123,1408,Down,0.499482669255865,-1.263757794722156,-0.229507657063147,-0.301479576060864
MA0698.1,ZBTB18,0.09,0,0,680,0.2,Down,35530,0.137056917712759,19,0,3123,617,Down,0.036116110589424,-3.812027353477861,-2.946749730768774,-1.44229902581428
MA0598.3,EHF,0.05,8,0.4,843,0.3,Up,34774.5,0.195251641182424,19,8,3123,740,Up,0.098912867608997,-1.637265633444288,0.878652511664757,1.004747207208958
MA1117.1,RELB,0.01,7,0.4,753,0.2,Up,33921.5,0.280665725010289,19,7,3123,676,Up,0.156544439062249,-1.792756656921353,0.828490067335247,0.805362355242688
MA0633.1,Twist2,0.03,5,0.3,529,0.2,Up,33370,0.347766487542552,19,5,3123,408,Up,0.093252800104737,-2.380363073322391,1.108784946194879,1.030338118749535
MA0465.2,CDX2,0.07,2,0.1,1277,0.4,Down,36286.5,0.093203507370003,19,2,3123,1000,Down,0.048561453997891,-2.30295824331733,-1.321031761315114,-1.313708318353573
MA0707.1,MNX1,0.07,23,1.2,5382,1.7,Down,34167,0.253828683702976,19,8,3123,1903,Down,0.103125804664338,-0.95622416880758,-0.483430417608657,-0.98663264973978
MA0826.1,OLIG1,0.08,5,0.3,474,0.2,Up,34077.5,0.26339775505403,19,5,3123,323,Up,0.040853977164918,-2.548648256398979,1.445355312348055,1.3887656581842
MA0860.1,Rarg(var.2),0.13,0,0,12,0,Down,29782.5,0.976930401911717,19,0,3123,12,Down,0.999999999990822,-6.625246921826519,2.679689405928541,0.000000000003986
MA0768.1,LEF1,0.11,4,0.2,184,0.1,Up,34234,0.246825487338713,19,4,3123,175,Up,0.020119401212354,-3.134548905840445,2.038143376841017,1.696384948767212
MA0040.1,Foxq1,0.05,8,0.4,582,0.2,Up,35776,0.121323682253945,19,7,3123,512,Up,0.026442002946457,-1.993025621713217,1.229027996918976,1.577705650712592
MA0158.2,HOXA5,0.05,11,0.6,3710,1.2,Down,36287,0.093178780736737,19,4,3123,1380,Down,0.061182963005345,-1.64672492969869,-0.937504575442491,-1.213369494567567
MA0504.1,NR2C2,0.07,1,0.1,36,0,Up,30888,0.757062167819838,19,1,3123,36,Up,0.20205991575553,-5.059781486913294,2.718683537544404,0.694519832416359
MA0825.1,MNT,0.01,6,0.3,2226,0.7,Down,33787,0.296158179977631,19,3,3123,899,Down,0.30919378177112,-2.137007820059338,-0.682078953490613,-0.509769248808192
MA0835.2,BATF3,0.13,16,0.8,2496,0.8,Up,31875,0.575680332742148,19,12,3123,1677,Up,0.492560799045537,-0.769198396282746,0.255304734390444,0.307540154891672
MA0631.1,Six3,0.13,4,0.2,341,0.1,Up,32846,0.420236260113049,19,4,3123,319,Up,0.123494991764771,-2.702376455519228,1.173798476198583,0.908350654493603
MA0025.2,NFIL3,0.04,0,0,511,0.2,Down,33934,0.279254381746995,19,0,3123,449,Down,0.096172779402628,-4.041086363956658,-2.488631709811182,-1.016947832619989
MA0636.1,BHLHE41,0.15,0,0,1561,0.5,Down,36404,0.087535950597386,19,0,3123,709,Down,0.011618976889303,-3.711845579683605,-3.147113278357286,-1.934832112125759
MA0609.2,CREM,0.01,2,0.1,52,0,Up,30992,0.737080640154825,19,1,3123,25,Up,0.146435985830506,-5.318481095367556,3.236082754452926,0.834352184704156
MA0654.1,ISX,0.01,23,1.2,5383,1.7,Down,34170,0.253512179569006,19,8,3123,1903,Down,0.103125804664338,-0.95622416880758,-0.483430417608657,-0.98663264973978
MA0706.1,MEOX2,0.02,2,0.1,1087,0.3,Down,34844,0.189240788351927,19,1,3123,730,Down,0.096621148182535,-2.898323534951554,-1.604232366379077,-1.014927805947238
MA0645.1,ETV6,0.04,0,0,821,0.3,Down,35720,0.124774887759092,19,0,3123,637,Down,0.020453971069324,-3.789034250840771,-2.992735936042955,-1.689222362665453
MA0830.2,TCF4,0.07,52,2.7,5319,1.7,Up,37399,0.049886591981181,19,19,3123,2425,Up,0.011846795583944,-0.182440675185348,0.364881350370696,1.926399105215701
MA1553.1,RARG(var.3),0.15,2,0.1,235,0.1,Up,31112,0.714244726286192,19,2,3123,171,Up,0.281594495599418,-3.575178586183794,1.223408924417815,0.550375838713742
MA0793.1,POU6F2,0.15,62,3.3,11257,3.6,Down,30021.5,0.928650593993635,19,19,3123,2615,Up,0.058389252632985,-0.128038379943759,0.256076759887517,1.23366708356782
MA0509.2,RFX1,0.07,0,0,319,0.1,Down,32423.5,0.484652542474636,19,0,3123,290,Down,0.249042361439774,-4.355977840011617,-1.858848757701263,-0.603726774290683
MA0846.1,FOXC2,0.07,10,0.5,834,0.3,Up,35765.5,0.121965032180513,19,8,3123,696,Up,0.051195381045917,-1.681453824788085,0.967028894352352,1.290769220210883
MA0731.1,BCL6B,0.15,1,0.1,6,0,Up,31173,0.702732357590033,19,1,3123,6,Up,0.041608527810984,-6.304473907282757,5.20806837828333,1.380817650101716
MA0144.2,STAT3,0.07,17,0.9,1718,0.6,Up,37040,0.061501815359951,19,12,3123,1192,Up,0.032414148695771,-1.015360146380082,0.747628234585116,1.489265379940577
MA0683.1,POU4F2,0.07,0,0,6,0,Down,29725.5,0.988463995271961,19,0,3123,6,Down,0.999999999993968,-7.096955157643336,3.623105877562174,0.000000000002619
MA0514.1,Sox3,0.11,22,1.2,5903,1.9,Down,39286.5,0.014698552258508,19,9,3123,2507,Down,0.001478457424981,-0.677194267242317,-0.720560876352692,-2.830191177301014
MA0803.1,TBX15,0,4,0.2,213,0.1,Up,33973.5,0.27482629613498,19,4,3123,202,Up,0.03191364290921,-3.031323467106732,1.831692499373591,1.496023618712558
MA0519.1,Stat5a::Stat5b,0.07,12,0.6,1043,0.3,Up,37650.5,0.042894978708798,19,10,3123,752,Up,0.01194970826544,-1.473242419500969,1.160315246834961,1.922642697247749
